Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date
Fittings,4-IN AL C CONDUIT B,ea,136.9109,97845,78599443105,SEPCO C10A,2026-08-25
Conduit & Raceway,2-IN 2H STL EMT ST,ea,0.4901,97870,78599421477,SEPCO 2147S,2026-08-25
Fittings,1IN CLMP TYPE COMB CPLG,ea,4.9971,188002,78599451705,SEPCO 173C,2026-08-25
Fittings,3-IN AL LR COND BOD,ea,78.0205,97879,78599442085,SEPCO LR8A,2026-08-25
Fittings,1/2 3PC MALL COND C,ea,2.3218,97926,78599410221,SEPCO 1022,2026-08-25
Fittings,2-1/2 D/C OFFSET NI,ea,66.3214,97930,78599413465,SEPCO C465,2026-08-25
Fittings,1-1/4 STR SQZ FLEX C,ea,6.0103,97951,78599433001,SEPCO C30,2026-08-25
Conduit & Raceway,3/4 AL S/S C EMT BO,ea,5.8853,97965,78599449025,SEPCO C2AT,2026-08-25
Fittings,1-1/2 W/T CONN,ea,13.9538,98041,78599413683,SEPCO 1068A,2026-08-25
Fittings,1-IN STR SQZ FLEX CO,ea,3.7571,98100,78599432901,SEPCO C29,2026-08-25
Fittings,1IN AL LR COND BODY,ea,8.1981,1210833,78599410101,SEPCO LR3ACG,2026-08-25
Fittings,2-1/2 STR SQZ FLEX C,ea,16.6321,98370,78599433301,SEPCO C33,2026-08-25
Conduit & Raceway,3/4 STL S/SCR EMT CPLG,ea,0.3357,98373,78599462117,SEPCO S1114,2026-08-25
Fittings,1-1/2 90D SQZ FLEX,ea,11.5025,98413,78599433916,SEPCO C39Z,2026-08-25
Conduit & Raceway,3/4 S/SCR EMT PULL,ea,4.7495,98483,78599413272,SEPCO 1327,2026-08-25
Fittings,1-IN 90D SQZ FLEX C,ea,5.2809,98507,78599433716,SEPCO C37Z,2026-08-25
Fittings,3/8 SQZ DPLX FLEX C,ea,0.9935,98542,78599452702,SEPCO C270,2026-08-25
Fittings,3-IN AL LB COND BOD,ea,78.0205,98590,78599440085,SEPCO LB8A,2026-08-25
Fittings,4-IN AL LL COND BO,ea,136.9109,98609,78599441105,SEPCO LL10A,2026-08-25
Fittings,1/2 AL LL COND BODY,ea,3.8666,98628,78599441015,SEPCO LL1A,2026-08-25
Fittings,3/4 90D SQZ FLEX CON,ea,3.9198,98638,78599433611,SEPCO C36,2026-08-25
Fittings,2-1/2TO 4 MALL GRD C,ea,31.0416,98700,78599443514,SEPCO 35A,2026-08-25
Fittings,3/4 STL CONDUIT BODY COVER,ea,1.1741,98784,78599449027,SEPCO 02,2026-08-25
Fittings,1-IN SNAP-IN KO BLA,ea,0.5299,98788,78599422547,SEPCO SS54,2026-08-25
Fittings,2-IN D/C STR L/T CO,ea,15.0682,98794,78599414322,SEPCO LT32,2026-08-25
Fittings,2-IN STR SQZ FLEX CO,ea,10.7669,98920,78599433201,SEPCO C32,2026-08-25
Fittings,3/4 INS 90D SQZ CON,ea,5.9234,98935,78599433613,SEPCO C36T,2026-08-25
Conduit & Raceway,3/4 AL S/S LR EMT,ea,5.8853,98979,78599447025,SEPCO LR2AT,2026-08-25
Fittings,1-IN CONDUIT HANGER,ea,0.5312,98986,78599411272,SEPCO 12CS,2026-08-25
Fittings,2-IN 2H STL COND S,ea,0.5016,99068,78599421377,SEPCO 2137S,2026-08-25
Fittings,2-IN 1H STL COND ST,ea,1.1430,99072,78599481377,SEPCO 137S,2026-08-25
Conduit & Raceway,1-1/2 1H STL EMT ST,ea,0.6168,99083,78599481467,SEPCO 146S,2026-08-25
Fittings,2X1-1/4 RED BUSH,ea,5.4285,99088,78599480147,SEPCO CR14,2026-08-25
